organism_group,agent_code,method,disk_content,site,route,standard,table_reference,tier,mic_susceptible_max,mic_sdd_min,mic_sdd_max,mic_intermediate_min,mic_intermediate_max,mic_resistant_min,disk_susceptible_min,disk_sdd_min,disk_sdd_max,disk_intermediate_min,disk_intermediate_max,disk_resistant_max,dosage_note,comment
Enterobacterales,AMC,DISK,20/10 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,AMC,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,AMK,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,AMK,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,AMP,DISK,10 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,AMP,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,ATM,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,ATM,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,AZA,DISK,30/20 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,AZA,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CAT,DISK,10 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CAT,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CAZ,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CAZ,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CDR,DISK,5 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CDR,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CEC,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CEC,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CFM,DISK,5 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CFM,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CFP,DISK,75 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CFP,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CHL,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CHL,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CID,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CID,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CIN,DISK,100 µg,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CIN,MIC,,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CIP,DISK,5 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CIP,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CMZ,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CMZ,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,COL,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — the conversion could not read this one; read it off the printed table.
Enterobacterales,CPD,DISK,10 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CPD,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CPR,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CPR,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CPT,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CPT,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CRO,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CRO,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CTB,DISK,30 µg,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CTB,MIC,,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CTT,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CTT,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CTX,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CTX,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CXM,DISK,30 µg,,iv,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CXM,DISK,30 µg,,oral,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CXM,MIC,,,iv,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CXM,MIC,,,oral,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CZA,DISK,30/20 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CZA,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CZO,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CZO,DISK,30 µg,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CZO,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CZO,MIC,,uti,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CZT,DISK,30/10 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CZT,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CZX,DISK,30 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,CZX,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,DOR,DISK,10 µg,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
Enterobacterales,DOR,MIC,,,,CLSI M100,2A-1,,,,,,,,,,,,,,,Blueprint row — enter the thresholds from your licensed M100.
