organism_group,agent_code,method,disk_content,site,route,standard,table_reference,tier,mic_susceptible_max,mic_sdd_min,mic_sdd_max,mic_intermediate_min,mic_intermediate_max,mic_resistant_min,disk_susceptible_min,disk_sdd_min,disk_sdd_max,disk_intermediate_min,disk_intermediate_max,disk_resistant_max,dosage_note,comment
Enterobacterales,AMP,DISK,10 µg,,,CLSI M100,2A-1,,,,,,,,17,,,14,16,13,,"Zone as printed: S ≥17, I 14-16^, R ≤13. (5) Results of ampicillin testing can be used to predict results for amoxicillin. (6) Breakpoints when oral ampicillin is used are only for therapy of uncomplicated UTIs due to Escherichia coli and Proteus mirabilis."
Enterobacterales,AMP,MIC,,,,CLSI M100,2A-1,,8,,,16,16,32,,,,,,,,"MIC as printed: S ≤8, I 16^, R ≥32. (5) Results of ampicillin testing can be used to predict results for amoxicillin. (6) Breakpoints when oral ampicillin is used are only for therapy of uncomplicated UTIs due to Escherichia coli and Proteus mirabilis."
Enterobacterales,PIP,MIC,,,,CLSI M100,2A-1,,8,16,16,,,32,,,,,,,,"MIC as printed: S ≤8, SDD 16, R ≥32. (7) Disk diffusion breakpoints have been removed because no disk correlate data are available for the revised piperacillin MIC breakpoints. Disk diffusion breakpoints will be reassessed if data become available."
Enterobacterales,MEC,DISK,10 µg,uti,,CLSI M100,2A-1,,,,,,,,15,,,12,14,11,,"Zone as printed: S ≥15, I 12-14^, R ≤11. (8) Report only on E. coli."
Enterobacterales,MEC,MIC,,uti,,CLSI M100,2A-1,,8,,,16,16,32,,,,,,,,"MIC as printed: S ≤8, I 16^, R ≥32. (8) Report only on E. coli."
Enterobacterales,AMC,DISK,20/10 µg,,,CLSI M100,2A-1,,,,,,,,18,,,14,17,13,,"Zone as printed: S ≥18, I 14-17^, R ≤13. (10) Breakpoints when oral amoxicillin-clavulanate is used are only for therapy of uncomplicated UTIs or for completion of therapy for systemic infection."
Enterobacterales,AMC,MIC,,,,CLSI M100,2A-1,,8,,,16,16,32,,,,,,,,"MIC as printed: S ≤8/4, I 16/8^, R ≥32/16. (10) Breakpoints when oral amoxicillin-clavulanate is used are only for therapy of uncomplicated UTIs or for completion of therapy for systemic infection."
Enterobacterales,SAM,DISK,10/10 µg,,,CLSI M100,2A-1,,,,,,,,15,,,12,14,11,,"Zone as printed: S ≥15, I 12-14^, R ≤11"
Enterobacterales,SAM,MIC,,,,CLSI M100,2A-1,,8,,,16,16,32,,,,,,,,"MIC as printed: S ≤8/4, I 16/8^, R ≥32/16"
Enterobacterales,AZA,DISK,30/20 µg,,,CLSI M100,2A-1,,,,,,,,25,,,22,24,21,,"Zone as printed: S ≥25, I 22-24^, R ≤21. (11) Confirmatory MIC testing is indicated for isolates with zones of 22-"
