row,combination,why it was not converted
56,"Enterobacterales · Colistin (MIC)","the SDD column reads \"– ≤\", so this row could not be read reliably"
57,"Enterobacterales · polymyxin B (MIC)","the SDD column reads \"– ≤\", so this row could not be read reliably"
80,"Enterobacterales · Trimethoprim-sulfamethoxazole (MIC)","the S column has no number in it, so this row could not be read reliably"
125,"Pseudomonas aeruginosa · Colistin (MIC)","the intermediate column reads \"≤2\", which is a bound rather than a range, so this row could not be read reliably"
126,"Pseudomonas aeruginosa · polymyxin B (MIC)","the intermediate column reads \"≤2\", which is a bound rather than a range, so this row could not be read reliably"
150,"Acinetobacter spp. · Colistin (MIC)","the intermediate column reads \"≤2\", which is a bound rather than a range, so this row could not be read reliably"
151,"Acinetobacter spp. · polymyxin B (MIC)","the intermediate column reads \"≤2\", which is a bound rather than a range, so this row could not be read reliably"
301,"Haemophilus influenzae and Haemophilus parainfluenzae · sulfamethoxazole (MIC)","the MIC row gives neither a susceptible nor a resistant bound, so this row could not be read reliably"
308,"Neisseria gonorrhoeae · Ceftriaxone (MIC)","the S column has no number in it, so this row could not be read reliably"
314,"Neisseria gonorrhoeae · Cefixime (MIC)","the S column has no number in it, so this row could not be read reliably"
391,"Streptococcus spp. β-Hemolytic Group · Trimethoprim-sulfamethoxazole (MIC)","the S column has no number in it, so this row could not be read reliably"
97,"Salmonella and Shigella spp. · Ciprofloxacin (DISK)","the printed table gives this combination 2 times with different thresholds (rows 97, 101) — the sub-group each set belongs to is not in this file, so none of them can be applied"
97,"Salmonella and Shigella spp. · Ciprofloxacin (MIC)","the printed table gives this combination 2 times with different thresholds (rows 97, 101) — the sub-group each set belongs to is not in this file, so none of them can be applied"
98,"Salmonella and Shigella spp. · Levofloxacin (MIC)","the printed table gives this combination 2 times with different thresholds (rows 98, 102) — the sub-group each set belongs to is not in this file, so none of them can be applied"
99,"Salmonella and Shigella spp. · Ofloxacin (MIC)","the printed table gives this combination 2 times with different thresholds (rows 99, 103) — the sub-group each set belongs to is not in this file, so none of them can be applied"
242,"Enterococcus spp. · Daptomycin (MIC)","the printed table gives this combination 2 times with different thresholds (rows 242, 243) — the sub-group each set belongs to is not in this file, so none of them can be applied"
